Name,Scope Project1,
File,E:\LN2min.csv,
Starttime of export,133327233574060000,Sonntag, 2. Juli 2023,00:15:57.406
Endtime of export,133327234774160000,Sonntag, 2. Juli 2023,00:17:57.416


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133327233577060000,4,133327233577060000,-1,133327233577060000,-1,133327233577060000,3
133327233577110000,-3,133327233577110000,2,133327233577110000,-1,133327233577110000,0
133327233577160000,-6,133327233577160000,-1,133327233577160000,-2,133327233577160000,0
133327233577210000,12,133327233577210000,-1,133327233577210000,1,133327233577210000,1
133327233577260000,-26,133327233577260000,-1,133327233577260000,0,133327233577260000,-2
133327233577310000,-22,133327233577310000,-1,133327233577310000,-1,133327233577310000,0
133327233577360000,4,133327233577360000,3,133327233577360000,0,133327233577360000,1
133327233577410000,-6,133327233577410000,-4,133327233577410000,1,133327233577410000,0
133327233577460000,-16,133327233577460000,1,133327233577460000,-4,133327233577460000,0
133327233577510000,-5,133327233577510000,3,133327233577510000,1,133327233577510000,0
133327233577560000,0,133327233577560000,-1,133327233577560000,-1,133327233577560000,0
133327233577610000,-22,133327233577610000,-2,133327233577610000,-1,133327233577610000,0
133327233577660000,37,133327233577660000,1,133327233577660000,2,133327233577660000,-2
133327233577710000,13,133327233577710000,2,133327233577710000,-3,133327233577710000,0
133327233577760000,8,133327233577760000,3,133327233577760000,0,133327233577760000,-1
133327233577810000,-12,133327233577810000,-3,133327233577810000,-2,133327233577810000,-3
133327233577860000,-5,133327233577860000,1,133327233577860000,0,133327233577860000,0
133327233577910000,3,133327233577910000,2,133327233577910000,-1,133327233577910000,0
133327233577960000,8,133327233577960000,0,133327233577960000,1,133327233577960000,0
133327233578010000,-17,133327233578010000,-3,133327233578010000,0,133327233578010000,-2
133327233578060000,12,133327233578060000,-3,133327233578060000,2,133327233578060000,-2
133327233578110000,16,133327233578110000,2,133327233578110000,3,133327233578110000,1
133327233578160000,1,133327233578160000,1,133327233578160000,2,133327233578160000,-1
133327233578210000,10,133327233578210000,-2,133327233578210000,0,133327233578210000,0
