Name,Scope Project1,
File,E:\RT2min.csv,
Starttime of export,133340919360180000,Montag, 17. Juli 2023,20:25:36.018
Endtime of export,133340920560180000,Montag, 17. Juli 2023,20:27:36.018


Name,ELM3602_Ch1_Value_ScaledSend,Name,ELM3604_Ch3_Value_ScaledSend,Name,ELM3604_Ch1_Value_ScaledSend,Name,ELM3604_Ch2_Value_ScaledSend
SymbolComment,,SymbolComment,,SymbolComment,Sendewert über OPC-UA wenn DINT,SymbolComment,
Data-Type,INT32,Data-Type,INT32,Data-Type,INT32,Data-Type,INT32
SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5,SampleTime[ms],5
VariableSize,4,VariableSize,4,VariableSize,4,VariableSize,4
SymbolBased,True,SymbolBased,True,SymbolBased,True,SymbolBased,True
IndexGroup,61472,IndexGroup,61472,IndexGroup,61472,IndexGroup,61472
IndexOffset,469360,IndexOffset,472128,IndexOffset,470744,IndexOffset,471436
SymbolName,Messdaten.ELM3602_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch3_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch1_Value_ScaledSend,SymbolName,Messdaten.ELM3604_Ch2_Value_ScaledSend
NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1,NetID,141.60.202.203.1.1
Port,851,Port,851,Port,851,Port,851
Offset,0,Offset,0,Offset,0,Offset,0
ScaleFactor,1,ScaleFactor,1,ScaleFactor,1,ScaleFactor,1
BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff,BitMask,0xffffffffffffffff
Unit,(None),Unit,(None),Unit,(None),Unit,(None)
Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1,Unit ScaleFactor,1
Unit Offset,0,Unit Offset,0,Unit Offset,0,Unit Offset,0

133340919363180000,25,133340919363180000,2,133340919363180000,1,133340919363180000,-1
133340919363230000,-4,133340919363230000,-3,133340919363230000,1,133340919363230000,-3
133340919363280000,-3,133340919363280000,0,133340919363280000,1,133340919363280000,1
133340919363330000,29,133340919363330000,1,133340919363330000,-4,133340919363330000,3
133340919363380000,2,133340919363380000,1,133340919363380000,3,133340919363380000,0
133340919363430000,2,133340919363430000,-3,133340919363430000,1,133340919363430000,3
133340919363480000,2,133340919363480000,0,133340919363480000,3,133340919363480000,-2
133340919363530000,-15,133340919363530000,1,133340919363530000,2,133340919363530000,-3
133340919363580000,14,133340919363580000,-2,133340919363580000,2,133340919363580000,2
133340919363630000,-12,133340919363630000,-1,133340919363630000,4,133340919363630000,2
133340919363680000,15,133340919363680000,1,133340919363680000,2,133340919363680000,0
133340919363730000,-3,133340919363730000,1,133340919363730000,1,133340919363730000,-3
133340919363780000,31,133340919363780000,1,133340919363780000,-2,133340919363780000,0
133340919363830000,33,133340919363830000,1,133340919363830000,2,133340919363830000,2
133340919363880000,-9,133340919363880000,0,133340919363880000,1,133340919363880000,-1
133340919363930000,-9,133340919363930000,-2,133340919363930000,3,133340919363930000,-1
133340919363980000,11,133340919363980000,2,133340919363980000,-1,133340919363980000,0
133340919364030000,-12,133340919364030000,-1,133340919364030000,0,133340919364030000,0
133340919364080000,-6,133340919364080000,-1,133340919364080000,1,133340919364080000,-1
133340919364130000,5,133340919364130000,0,133340919364130000,-1,133340919364130000,1
133340919364180000,-7,133340919364180000,2,133340919364180000,1,133340919364180000,-1
133340919364230000,-4,133340919364230000,-1,133340919364230000,0,133340919364230000,-3
133340919364280000,5,133340919364280000,-3,133340919364280000,2,133340919364280000,2
133340919364330000,7,133340919364330000,2,133340919364330000,-2,133340919364330000,0
133340919364380000,20,133340919364380000,2,133340919364380000,-2,133340919364380000,0
133340919364430000,11,133340919364430000,2,133340919364430000,1,133340919364430000,-3
133340919364480000,-21,133340919364480000,-2,133340919364480000,0,133340919364480000,2
133340919364530000,3,133340919364530000,1,133340919364530000,0,133340919364530000,-1
133340919364580000,5,133340919364580000,0,133340919364580000,0,133340919364580000,-3
133340919364630000,-7,133340919364630000,1,133340919364630000,-2,133340919364630000,-3
133340919364680000,6,133340919364680000,1,133340919364680000,1,133340919364680000,3
